"Geslacht";"Leeftijd";"Vervoerwijzen";"Reismotieven";"Marges";"Perioden";"Ritten per persoon per dag (gemiddeld) (aantal)";"Afgelegde afstand per rit (gemiddeld) (km)"
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"1999*";3,17;9,76
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2000*";3,11;9,82
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2001*";3,07;9,79
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2002*";3,08;9,81
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2003*";3,08;9,86
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2004*";3,1;9,88
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2005*";3,05;9,92
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2006*";3,08;9,92
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2007*";3,03;10,03
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2008*";3;9,92
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2009*";3,04;9,96
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2010*";3,05;9,93
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2011*";2,95;10,12
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2012*";2,96;10,11
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2013*";2,97;10,14
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2014*";2,98;10,15
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2015*";2,89;10,26
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2016*";2,85;10,27
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2017*";2,81;10,38
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2018*";2,89;10,37
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2019*";2,82;10,44
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Totaal";"Waarde";"2020*";2,34;8,77
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"1999*";0,54;14,24
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2000*";0,54;14,35
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2001*";0,53;14,41
"Totaal mannen en vrouwen";"Totaal";"Totaal";"Van en naar het werk";"Waarde";"2002*";0,53;14,41
