section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,1,1683879584205738074,1683879584401812074,196,577.646,477.851,1.7185996755961253,3.2291210654300784
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,2,1683879584453723074,1683879584929463074,475,418.252,451.261,-10.26021449862967,5.196947249018535
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,3,1683879584985511074,1683879585217628074,232,583.694,536.609,2.1703904971926358,-1.1799951412541925
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,4,1683879585317595074,1683879585629516074,311,651.299,458.259,7.258154886328859,4.68869709761153
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,5,1683879585709437074,1683879585981462074,272,584.164,448.699,2.2124939213784987,5.4166146502755765
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,6,1683879586013551074,1683879586241518074,227,669.765,467.1,8.641516909785656,4.022558291200053
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,7,1683879586273835074,1683879586729488074,455,605.417,476.833,3.803923261328172,3.3038435362126175
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,8,1683879586773499074,1683879587729526074,956,545.134,590.42,-0.7230704616187553,-5.217438682394256
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,9,1683879587757467074,1683879588201413074,443,587.153,607.881,2.440192709116736,-6.525755682900875
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,10,1683879588229502074,1683879588353512074,124,611.023,569.241,4.225337171337678,-3.6256384933478536
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,11,1683879588381634074,1683879588857510074,475,601.298,576.316,3.496446847049614,-4.157181860039066
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,12,1683879588917504074,1683879589001502074,83,730.806,550.157,13.213029770418864,-2.1762717640384355
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,13,1683879589117491074,1683879589481653074,364,559.869,576.087,0.38423268546533895,-4.142398157906016
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,14,1683879589581543074,1683879589865734074,284,850.773,513.729,22.226048164761778,0.5291831280984108
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,15,1683879589985548074,1683879590337503074,351,597.192,551.823,3.184136410801599,-2.320758129390489
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,16,1683879590361570074,1683879590777527074,415,586.195,589.848,2.3641577724837632,-5.173497444791305
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,17,1683879590937443074,1683879591169529074,232,695.679,528.509,10.571040221612584,-0.5681820189356382
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,18,1683879591237457074,1683879591357576074,120,627.055,644.491,5.4699861472897435,-9.26008610236631
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,19,1683879591385599074,1683879591717512074,331,595.305,627.257,3.0608907811583723,-7.977422763785382
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,20,1683879591961537074,1683879592089545074,128,623.806,622.149,5.2089624878267715,-7.587821787178221
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,21,1683879592133531074,1683879592233613074,100,504.38,580.86,-3.7840264814921096,-4.496579662915109
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,22,1683879592281514074,1683879592365452074,83,531.711,519.671,-1.7279332079224536,0.09076784929801983
