section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,1,2023-05-12 10:19:44.205738074,2023-05-12 10:19:44.401812074,196,577.646,477.851,1.7185996755961253,3.2291210654300784
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,2,2023-05-12 10:19:44.453723074,2023-05-12 10:19:44.929463074,475,418.252,451.261,-10.26021449862967,5.196947249018535
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,3,2023-05-12 10:19:44.985511074,2023-05-12 10:19:45.217628074,232,583.694,536.609,2.170390497192636,-1.1799951412541925
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,4,2023-05-12 10:19:45.317595074,2023-05-12 10:19:45.629516074,311,651.299,458.259,7.258154886328859,4.68869709761153
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,5,2023-05-12 10:19:45.709437074,2023-05-12 10:19:45.981462074,272,584.164,448.699,2.2124939213784987,5.4166146502755765
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,6,2023-05-12 10:19:46.13551074,2023-05-12 10:19:46.241518074,227,669.765,467.1,8.641516909785656,4.022558291200053
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,7,2023-05-12 10:19:46.273835074,2023-05-12 10:19:46.729488074,455,605.417,476.833,3.803923261328172,3.303843536212617
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,8,2023-05-12 10:19:46.773499074,2023-05-12 10:19:47.729526074,956,545.134,590.42,-0.7230704616187553,-5.217438682394256
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,9,2023-05-12 10:19:47.757467074,2023-05-12 10:19:48.201413074,443,587.153,607.881,2.440192709116736,-6.525755682900875
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,10,2023-05-12 10:19:48.229502074,2023-05-12 10:19:48.353512074,124,611.023,569.241,4.225337171337678,-3.6256384933478536
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,11,2023-05-12 10:19:48.381634074,2023-05-12 10:19:48.857510074,475,601.298,576.316,3.496446847049614,-4.157181860039066
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,12,2023-05-12 10:19:48.917504074,2023-05-12 10:19:49.1502074,83,730.806,550.157,13.213029770418864,-2.1762717640384355
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,13,2023-05-12 10:19:49.117491074,2023-05-12 10:19:49.481653074,364,559.869,576.087,0.3842326854653389,-4.142398157906016
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,14,2023-05-12 10:19:49.581543074,2023-05-12 10:19:49.865734074,284,850.773,513.729,22.226048164761774,0.5291831280984108
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,15,2023-05-12 10:19:49.985548074,2023-05-12 10:19:50.337503074,351,597.192,551.823,3.184136410801599,-2.320758129390489
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,16,2023-05-12 10:19:50.361570074,2023-05-12 10:19:50.777527074,415,586.195,589.848,2.3641577724837632,-5.173497444791305
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,17,2023-05-12 10:19:50.937443074,2023-05-12 10:19:51.169529074,232,695.679,528.509,10.571040221612584,-0.5681820189356382
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,18,2023-05-12 10:19:51.237457074,2023-05-12 10:19:51.357576074,120,627.055,644.491,5.469986147289744,-9.26008610236631
b84e95f2-6d8b-40e5-ab30-af27b867a839,4bbf62fc-71fc-407c-8dd6-d476f6542689,19,2023-05-12 10:19:51.385599074,2023-05-12 10:19:51.717512074,331,595.305,627.257,3.0608907811583723,-7.977422763785382
