"Populatie";"Geslacht";"Persoonskenmerken";"Reismotieven";"Marges";"Perioden";"Regio's";"Gemiddeld per persoon per dag /Verplaatsingen  (aantal)";"Gemiddeld per persoon per dag /Afstand  (reizigerskilometers)";"Gemiddeld per persoon per dag /Reisduur (minuten)"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2018";"Nederland";"    2.78";"   36.16";"   74.60"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2019";"Nederland";"    2.71";"   36.00";"   74.39"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2020";"Nederland";"    2.35";"   24.88";"   61.96"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Totaal";"Waarde";"2021";"Nederland";"    2.51";"   27.24";"   69.85"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Van en naar het werk";"Waarde";"2018";"Nederland";"    0.55";"   10.55";"   16.24"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Van en naar het werk";"Waarde";"2019";"Nederland";"    0.50";"    9.72";"   15.10"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Van en naar het werk";"Waarde";"2020";"Nederland";"    0.37";"    6.16";"    9.66"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Totaal personen";"Van en naar het werk";"Waarde";"2021";"Nederland";"    0.37";"    6.13";"    9.59"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2018";"Nederland";"    3.16";"   17.89";"   60.34"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2019";"Nederland";"    3.12";"   17.08";"   58.72"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2020";"Nederland";"    2.58";"   13.50";"   58.51"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Totaal";"Waarde";"2021";"Nederland";"    2.80";"   14.99";"   66.82"
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Van en naar het werk";"Waarde";"2018";"Nederland";"       .";"       .";"       ."
"Populatie: 6 jaar of ouder";"Totaal mannen en vrouwen";"Leeftijd:6 tot 12 jaar";"Van en naar het werk";"Waarde";"2019";"Nederland";"       .";"       .";"       ."
